唔該!	3
多謝!	3
家	1
沙	1
蝦	1
男	1
心	1
閃	1
我	1
你	1
佢	1
我哋	2
你哋	2
佢哋	2
老婆	2
女人	2
師奶	2
女仔	2
後生女	3
阿嬸	2
阿婆	2
老公	2
男人	2
老婆奴	3
老婆奴	3
後生仔	3
阿叔	2
阿伯	2
我係 Fabian.	10
阿嫲	2
阿爺	2
阿婆	2
阿公	2
阿爸 / 老竇	7
阿媽	2
細佬	2
阿哥	2
家姐	2
細妹 / 阿妹	7
阿囡	2
阿仔	2
衣	1
耳	1
紙	1
靚	1
停	1
狼	1
秘書	2
設計師	3
廚師	2
的士司機	4
化妝師	3
法官	2
科學家	3
教授	2
救生員	3
救護員	3
記者	2
建築師	3
工程師	3
學生	2
空中服務員	5
音樂家	3
郵差	2
醫生	2
演員	2
老師	2
舞蹈家	3
牧師	2
牙醫	2
銀行家	3
書法家	3
收銀員	3
售貨員	3
律師	2
侍應	2
消防員	3
書法家	3
圖書管理員	5
畫家	2
運動員	3
護士	2
會計師	3
藥劑師	3
政客	2
哲學家	3
作家	2
帽	1
T 恤	3
裙	1
連身裙	3
長褲	2
外套	2
大褸	2
底褲	2
恤衫	2
皮帶	2
手套	2
鞋	1
襪	1
有	1
我 有 一個 家姐。	10
我 有 好多 T 恤。	11
零	1
一	1
二	1
三	1
四	1
五	1
六	1
七	1
八	1
九	1
十	1
十二	2
二十	2
三十	2
三十一	3
